"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Natuashish  2 (IRI), Newfoundland and Labrador","2016A00051010801","Persons","249","units","0","v1138979194","89","988","","","","0"
"2021","Natuashish  2 (IRI), Newfoundland and Labrador","2016A00051010801","Persons","249","units","0","v1138979194","89","993","","","","0"
"2020","Rocky Harbour (T), Newfoundland and Labrador","2016A00051009013","Persons","249","units","0","v1138979195","90","975","","","","0"
"2021","Rocky Harbour (T), Newfoundland and Labrador","2016A00051009013","Persons","249","units","0","v1138979195","90","945","","","","0"
"2020","Division No.  8, Subd. F (SNO), Newfoundland and Labrador","2016A00051008042","Persons","249","units","0","v1138979196","91","957","","","","0"
"2021","Division No.  8, Subd. F (SNO), Newfoundland and Labrador","2016A00051008042","Persons","249","units","0","v1138979196","91","942","","","","0"
"2020","Division No.  1, Subd. L (SNO), Newfoundland and Labrador","2016A00051001415","Persons","249","units","0","v1138979197","92","1002","","","","0"
"2021","Division No.  1, Subd. L (SNO), Newfoundland and Labrador","2016A00051001415","Persons","249","units","0","v1138979197","92","1015","","","","0"
"2020","Summerford (T), Newfoundland and Labrador","2016A00051008033","Persons","249","units","0","v1138979198","93","862","","","","0"
"2021","Summerford (T), Newfoundland and Labrador","2016A00051008033","Persons","249","units","0","v1138979198","93","851","","","","0"
"2020","Whitbourne (T), Newfoundland and Labrador","2016A00051001298","Persons","249","units","0","v1138979199","94","880","","","","0"
"2021","Whitbourne (T), Newfoundland and Labrador","2016A00051001298","Persons","249","units","0","v1138979199","94","920","","","","0"
"2020","LaScie (T), Newfoundland and Labrador","2016A00051008076","Persons","249","units","0","v1138979200","95","843","","","","0"
"2021","LaScie (T), Newfoundland and Labrador","2016A00051008076","Persons","249","units","0","v1138979200","95","866","","","","0"
"2020","Division No.  4, Subd. D (SNO), Newfoundland and Labrador","2016A00051004016","Persons","249","units","0","v1138979201","96","802","","","","0"
"2021","Division No.  4, Subd. D (SNO), Newfoundland and Labrador","2016A00051004016","Persons","249","units","0","v1138979201","96","791","","","","0"
"2020","Cape St. George (T), Newfoundland and Labrador","2016A00051004033","Persons","249","units","0","v1138979202","97","795","","","","0"
"2021","Cape St. George (T), Newfoundland and Labrador","2016A00051004033","Persons","249","units","0","v1138979202","97","775","","","","0"
"2020","Division No.  7, Subd. F (SNO), Newfoundland and Labrador","2016A00051007028","Persons","249","units","0","v1138979203","98","804","","","","0"
"2021","Division No.  7, Subd. F (SNO), Newfoundland and Labrador","2016A00051007028","Persons","249","units","0","v1138979203","98","798","","","","0"
"2020","Division No.  5, Subd. F (SNO), Newfoundland and Labrador","2016A00051005010","Persons","249","units","0","v1138979204","99","830","","","","0"
"2021","Division No.  5, Subd. F (SNO), Newfoundland and Labrador","2016A00051005010","Persons","249","units","0","v1138979204","99","826","","","","0"
"2020","Peterview (T), Newfoundland and Labrador","2016A00051006021","Persons","249","units","0","v1138979205","100","790","","","","0"
"2021","Peterview (T), Newfoundland and Labrador","2016A00051006021","Persons","249","units","0","v1138979205","100","733","","","","0"
"2020","Robert's Arm (T), Newfoundland and Labrador","2016A00051008060","Persons","249","units","0","v1138979206","101","764","","","","0"
"2021","Robert's Arm (T), Newfoundland and Labrador","2016A00051008060","Persons","249","units","0","v1138979206","101","757","","","","0"
"2020","Port au Choix (T), Newfoundland and Labrador","2016A00051009022","Persons","249","units","0","v1138979207","102","789","","","","0"
